iso_code,continent,date,people_vaccinated,people_fully_vaccinated,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,name_fr
TTO,North America,2021-07-11,225546.0,140568.0,16.12,10.04,1399491.0,Trinité-et-Tobago
TUN,Africa,2021-07-10,1514948.0,623077.0,12.82,5.27,11818618.0,Tunisie
TUR,Asia,2021-07-11,37811142.0,17350100.0,44.83,20.57,84339067.0,Turquie
TKM,Asia,2021-04-04,32240.0,9753.0,0.53,0.16,6031187.0,Turkménistan
UGA,Africa,2021-05-24,537440.0,4129.0,1.17,0.01,45741000.0,Ouganda
UKR,Europe,2021-07-11,2311690.0,1177642.0,5.29,2.69,43733759.0,Ukraine
ARE,Asia,2021-07-11,7477002.0,6507761.0,75.6,65.8,9890400.0,Émirats arabes unis
GBR,Europe,2021-07-10,45881721.0,34764511.0,67.59,51.21,67886004.0,Royaume-Uni
USA,North America,2021-07-11,184132768.0,159266536.0,55.06,47.62,331002647.0,États-Unis
URY,South America,2021-07-11,2354902.0,1919263.0,67.79,55.25,3473727.0,Uruguay
UZB,Asia,2021-06-29,2074701.0,1199541.0,6.2,3.58,33469199.0,Ouzbékistan
VEN,South America,2021-07-05,2284343.0,223858.0,8.03,0.79,28435943.0,Venezuela
VNM,Asia,2021-07-10,3769374.0,271409.0,3.87,0.28,97338583.0,Viêt Nam
ZMB,Africa,2021-07-10,144457.0,36762.0,0.79,0.2,18383956.0,Zambie
ZWE,Africa,2021-07-11,895980.0,595417.0,6.03,4.01,14862927.0,Zimbabwe
