date,total_hosp,total_rea,new_hosp,new_dc,new_cases,roll_cases,roll_hosp,roll_dc
2020-11-15,33050,4880,1574,302,27228,27786.14285714286,2487.714285714286,414
2020-11-16,33466,4903,2065,508,9406,26250.571428571428,2401.285714285714,407.85714285714283
2020-11-17,33139,4838,2513,437,45522,29585.14285714286,2307.714285714286,402.85714285714283
2020-11-18,32811,4759,2435,427,28383,28514.285714285714,2285.8571428571427,416.85714285714283
2020-11-19,32314,4637,2221,436,21150,26796.85714285714,2264.4285714285716,419.42857142857144
2020-11-20,31875,4566,1968,386,22882,26666.571428571428,2139.714285714286,407.85714285714283
2020-11-21,31365,4493,1515,276,17881,24636,2041.5714285714287,396
2020-11-22,31522,4491,906,215,13157,22625.85714285714,1946.142857142857,383.57142857142856
2020-11-23,31449,4438,1380,501,4452,21918.14285714286,1848.2857142857142,382.57142857142856
2020-11-24,30594,4277,1786,457,9155,16722.85714285714,1744.4285714285713,385.42857142857144
2020-11-25,29944,4136,1677,384,16282,14994.142857142857,1636.142857142857,379.2857142857143
2020-11-26,29282,4006,1460,340,13563,13910.285714285714,1527.4285714285713,365.57142857142856
2020-11-27,28620,3871,1471,396,12459,12421.285714285714,1456.4285714285713,367
2020-11-28,28139,3765,976,213,12580,11664,1379.4285714285713,358
2020-11-29,28284,3744,652,198,9784,11182.142857142857,1343.142857142857,355.57142857142856
2020-11-30,28229,3739,1257,408,4005,11118.285714285714,1325.5714285714287,342.2857142857143
2020-12-01,27611,3594,1572,365,8083,10965.142857142857,1295,329.14285714285717
2020-12-02,26986,3478,1253,312,14064,10648.285714285714,1234.4285714285713,318.85714285714283
2020-12-03,26675,3415,1450,326,12696,10524.42857142857,1233,316.85714285714283
2020-12-04,26283,3283,1400,284,11221,10347.57142857143,1222.857142857143,300.85714285714283
2020-12-05,26040,3220,1019,216,12923,10396.57142857143,1229,301.2857142857143
2020-12-06,26262,3210,627,175,11022,10573.42857142857,1225.4285714285713,298
2020-12-07,26333,3188,1206,366,3411,10488.57142857143,1218.142857142857,292
2020-12-08,25882,3078,1597,380,13713,11292.857142857143,1221.7142857142858,294.14285714285717
2020-12-09,25526,3031,1380,296,14595,11368.714285714286,1239.857142857143,291.85714285714283
2020-12-10,25199,2949,1445,297,13750,11519.285714285714,1239.142857142857,287.7142857142857
2020-12-11,24943,2874,1340,306,13406,11831.42857142857,1230.5714285714287,290.85714285714283
2020-12-12,24948,2851,1097,199,13947,11977.714285714286,1241.7142857142858,288.42857142857144
2020-12-13,25207,2861,669,150,11533,12050.714285714286,1247.7142857142858,284.85714285714283
2020-12-14,25449,2896,1324,372,3063,12001,1264.5714285714287,285.7142857142857
2020-12-15,25207,2871,1562,314,11532,11689.42857142857,1259.5714285714287,276.2857142857143
2020-12-16,25282,2840,1664,292,17615,12120.857142857143,1300.142857142857,275.7142857142857
2020-12-17,25149,2798,1364,261,18254,12764.285714285714,1288.5714285714287,270.57142857142856
2020-12-18,24945,2764,1285,264,15674,13088.285714285714,1280.7142857142858,264.57142857142856
2020-12-19,24819,2718,1004,190,17565,13605.142857142857,1267.4285714285713,263.2857142857143
2020-12-20,24961,2745,599,131,12799,13786,1257.4285714285713,260.57142857142856
2020-12-21,25201,2737,1284,354,5797,14176.57142857143,1251.7142857142858,258
2020-12-22,24932,2719,1783,386,11795,14214.142857142857,1283.2857142857142,268.2857142857143
2020-12-23,24852,2701,1426,278,14929,13830.42857142857,1249.2857142857142,266.2857142857143
2020-12-24,24607,2643,1454,292,21634,14313.285714285714,1262.142857142857,270.7142857142857
2020-12-25,24359,2616,743,159,20262,14968.714285714286,1184.7142857142858,255.71428571428572
2020-12-26,24444,2640,513,146,3093,12901.285714285714,1114.5714285714287,249.42857142857142
2020-12-27,24620,2650,589,175,8822,12333.142857142857,1113.142857142857,255.71428571428572
2020-12-28,24645,2694,1217,364,2960,11927.857142857143,1103.5714285714287,257.14285714285717
2020-12-29,24743,2666,1627,388,11395,11870.714285714286,1081.2857142857142,257.42857142857144
2020-12-30,24560,2652,1404,304,26457,13517.57142857143,1078.142857142857,261.14285714285717
2020-12-31,24407,2625,1317,252,19927,13273.714285714286,1058.5714285714287,255.42857142857142
2021-01-01,24263,2609,677,133,19348,13143.142857142857,1049.142857142857,251.71428571428572
2021-01-02,24458,2632,646,157,3466,13196.42857142857,1068.142857142857,253.28571428571428
2021-01-03,24780,2665,657,116,12489,13720.285714285714,1077.857142857143,244.85714285714286
2021-01-04,24962,2657,1262,380,4022,13872,1084.2857142857142,247.14285714285714
2021-01-05,24871,2616,1747,346,20489,15171.142857142857,1101.4285714285713,241.14285714285714
2021-01-06,24708,2607,1438,291,25379,15017.142857142857,1106.2857142857142,239.28571428571428
2021-01-07,24488,2573,1441,277,21703,15270.857142857143,1124,242.85714285714286
2021-01-08,24377,2606,1445,281,19814,15337.42857142857,1233.7142857142858,264
2021-01-09,24240,2600,944,171,20177,17724.714285714286,1276.2857142857142,266
2021-01-10,24526,2620,729,151,15944,18218.285714285714,1286.5714285714287,271
2021-01-11,24812,2666,1289,310,3581,18155.285714285714,1290.4285714285713,261
2021-01-12,24703,2678,1660,362,19753,18050.14285714286,1278,263.2857142857143
2021-01-13,24735,2701,1588,232,23852,17832,1299.4285714285713,254.85714285714286
2021-01-14,24983,2716,1691,283,21228,17764.14285714286,1335.142857142857,255.71428571428572
2021-01-15,25009,2730,1634,288,21271,17972.285714285714,1362.142857142857,256.7142857142857
2021-01-16,24985,2731,1199,196,21406,18147.85714285714,1398.5714285714287,260.2857142857143
2021-01-17,25235,2766,698,141,16642,18247.571428571428,1394.142857142857,258.85714285714283
2021-01-18,25584,2803,1666,404,3736,18269.714285714286,1448,272.2857142857143
2021-01-19,25532,2829,1995,373,23608,18820.428571428572,1495.857142857143,273.85714285714283
