date,dep,incid,incid_evol
2021-05-29,01,64.6924066336355,-41.05409153952819
2021-05-29,02,109.115103127079,-36.43410852713206
2021-05-29,03,115.901785310052,-22.580645161290583
2021-05-29,04,86.5633153144428,-25.906735751295212
2021-05-29,05,62.7839385987189,-20.5357142857143
2021-05-29,06,26.7742329969724,-41.3793103448275
2021-05-29,07,48.6424474187381,-36.14457831325292
2021-05-29,08,105.072477413183,-7.920792079207999
2021-05-29,09,51.8379506292734,-45.13888888888886
2021-05-29,10,50.0150045013504,-43.223443223443255
2021-05-29,11,57.9546826578661,-16.602316602316616
2021-05-29,12,67.5384394309527,-23.886639676113393
2021-05-29,13,84.4446388713714,-20.499768625636282
2021-05-29,14,85.9060557984418,-33.926585094549495
2021-05-29,15,56.7183200173656,-1.2195121951219559
2021-05-29,16,45.9532425756792,-20.398009950248905
2021-05-29,17,44.0440131050257,14.000000000000076
2021-05-29,18,67.1380953023576,-3.8647342995168534
2021-05-29,19,57.0035283935823,-12.738853503184707
2021-05-29,21,154.066723464306,-2.8402366863901984
2021-05-29,22,62.2289017185912,-25.502008032128458
2021-05-29,23,24.9419454717468,-61.33333333333333
2021-05-29,24,55.8285768855,-13.962264150943357
2021-05-29,25,89.535804126062,-31.87588152327233
2021-05-29,26,51.4830182879975,-29.287598944591096
2021-05-29,27,103.714580139074,-38.68110236220462
2021-05-29,28,88.7232927752227,-45.72649572649568
2021-05-29,29,57.2497611835588,-11.130136986301478
2021-05-29,2A,16.0077822449068,-18.749999999999623
2021-05-29,2B,23.0442559448694,-35.384615384615294
2021-05-29,30,66.1350919478188,-20.79999999999992
2021-05-29,31,84.6577464336318,-17.294281729428032
2021-05-29,32,48.4108608713955,-3.1578947368421635
2021-05-29,33,74.9951023606622,-12.749287749287724
2021-05-29,34,73.630377206892,-18.070009460737932
2021-05-29,35,90.3820721892146,-27.34026745913826
2021-05-29,36,63.5537604944298,-31.343283582089615
2021-05-29,37,71.6905084409792,-34.539969834087756
2021-05-29,38,76.0486932984658,-27.5056518462695
2021-05-29,39,67.0935314854818,-38.21428571428595
2021-05-29,40,87.6258255881975,-0.824175824175815
2021-05-29,41,54.6006375158235,-34.909090909090914
2021-05-29,42,156.26287207236,-12.06769683590863
2021-05-29,43,117.23174424088,-21.06824925816038
2021-05-29,44,91.4317841653231,-23.24766355140203
2021-05-29,45,135.307296929227,-13.320825515947652
2021-05-29,46,64.6778235912361,-20.000000000000075
2021-05-29,47,68.1124673060157,-1.7467248908296933
2021-05-29,48,47.1908344912566,-53.84615384615371
2021-05-29,49,91.8026035659612,-21.074815595363578
2021-05-29,50,90.0810933643658,-33.0303030303028
2021-05-29,51,69.1706439786954,-38.679245283018645
2021-05-29,52,72.082717872969,-44.03669724770655
2021-05-29,53,106.757486941856,-14.659685863875058
2021-05-29,54,59.2827472145323,-27.59197324414725
2021-05-29,55,72.1202812140431,-20.606060606060623
2021-05-29,56,63.7932357993875,-32.681564245810016
2021-05-29,57,63.1355793123821,-15.503875968992256
2021-05-29,58,53.1072766989318,-20.895522388059746
2021-05-29,59,119.815155574302,-29.803122878479225
2021-05-29,60,118.41319052646,-37.37179487179491
2021-05-29,61,132.537386738316,-23.541666666666664
2021-05-29,62,105.866140594089,-32.57343270495402
2021-05-29,63,84.5147219193021,-24.696356275303497
2021-05-29,64,110.221628908806,34.2245989304815
2021-05-29,65,55.1051626924823,-20.382165605095576
2021-05-29,66,64.5093945720251,-18.897637795275575
2021-05-29,67,99.3283636777806,-20.60691601975992
2021-05-29,68,93.2909156660605,-22.355507088331574
2021-05-29,69,106.980034124872,-30.697513812154554
2021-05-29,70,99.0591524653293,-30.838323353293372
2021-05-29,71,71.1907473933234,-20.73170731707313
2021-05-29,72,102.815465873655,-40.80164439876665
2021-05-29,73,64.0391355410267,-37.330316742081294
2021-05-29,74,86.4311538438324,-24.07211028632043
2021-05-29,75,117.769126893209,-29.270338272294786
2021-05-29,76,109.021794710996,-33.59451518119474
2021-05-29,77,114.849112149631,-33.91269199676643
2021-05-29,78,107.550263180602,-31.365638766520178
2021-05-29,79,81.8512882856046,-32.07126948775058
2021-05-29,80,100.56707191862,-30.713422007254955
2021-05-29,81,73.4729232942681,-19.71830985915487
2021-05-29,82,89.4835845220053,-8.203125000000009
2021-05-29,83,46.6551689457236,-23.86018237082062
2021-05-29,84,59.536860268415,-34.50980392156861
2021-05-29,85,71.1371849874193,-21.231766612641756
2021-05-29,86,63.3290504300431,-21.529745042492987
2021-05-29,87,86.3059437824659,-17.737789203084745
2021-05-29,88,80.9412550066756,-19.834710743801224
2021-05-29,89,80.6995567546734,-40.838852097130335
2021-05-29,90,69.2140283278033,-44.886363636363875
2021-05-29,91,111.641570682454,-35.648754914809714
2021-05-29,92,104.786207631609,-26.51021295089075
2021-05-29,93,129.868652437597,-36.819108651325415
2021-05-29,94,119.697789751508,-36.27413858386962
2021-05-29,95,148.515565296382,-24.449877750611464
2021-05-29,971,63.4155790054633,-35.054347826086925
2021-05-29,972,22.5784601490178,-15.62500000000004
2021-05-29,973,318.551313938168,-22.315436241610833
2021-05-29,974,139.425251668975,-8.192955589586434
2021-05-29,976,6.79855870555442,-69.35483870967744
