date,age_label,incid
2020-06-03,de 50 à 59 ans,4.2535407014106505
2020-06-03,de 60 à 89 ans,5.03393257120284
2020-06-03,moins de 10 ans,1.558634472534398
2020-06-04,90 ans et plus,29.805586282498158
2020-06-04,de 10 à 19 ans,2.4830605606938354
2020-06-04,de 20 à 29 ans,7.101980926595713
2020-06-04,de 30 à 49 ans,5.3883591490000375
2020-06-04,de 50 à 59 ans,4.49237587448451
2020-06-04,de 60 à 89 ans,4.957213786413113
2020-06-04,moins de 10 ans,1.6230408556969764
2020-06-05,90 ans et plus,28.490633946505593
2020-06-05,de 10 à 19 ans,2.579024253860747
2020-06-05,de 20 à 29 ans,6.928109453816535
2020-06-05,de 30 à 49 ans,5.518627172382456
2020-06-05,de 50 à 59 ans,4.3672717362077265
2020-06-05,de 60 à 89 ans,4.957213786413113
2020-06-05,moins de 10 ans,1.481346812739304
2020-06-06,90 ans et plus,27.613999055843884
2020-06-06,de 10 à 19 ans,2.4470741757562435
2020-06-06,de 20 à 29 ans,6.33962139210239
2020-06-06,de 30 à 49 ans,5.4120442441604775
2020-06-06,de 50 à 59 ans,4.3672717362077265
2020-06-06,de 60 à 89 ans,4.980819566348413
2020-06-06,moins de 10 ans,1.4684655361067882
2020-06-07,90 ans et plus,28.490633946505593
2020-06-07,de 10 à 19 ans,2.3391150209434683
2020-06-07,de 20 à 29 ans,5.8180069737648505
2020-06-07,de 30 à 49 ans,5.311382589728608
2020-06-07,de 50 à 59 ans,4.378644839687435
2020-06-07,de 60 à 89 ans,5.004425346283713
2020-06-07,moins de 10 ans,1.4942280893718196
2020-06-08,90 ans et plus,31.01095925715801
2020-06-08,de 10 à 19 ans,2.627006100444203
2020-06-08,de 20 à 29 ans,6.393120306803675
2020-06-08,de 30 à 49 ans,6.098912003813229
2020-06-08,de 50 à 59 ans,4.856315185835154
2020-06-08,de 60 à 89 ans,5.624077069585352
2020-06-08,moins de 10 ans,1.7776161752871646
2020-06-09,90 ans et plus,26.627784803849455
2020-06-09,de 10 à 19 ans,2.7589561785487065
2020-06-09,de 20 à 29 ans,6.139000461972567
2020-06-09,de 30 à 49 ans,6.087069456233009
2020-06-09,de 50 à 59 ans,4.7653303579974935
2020-06-09,de 60 à 89 ans,5.09294702104109
2020-06-09,moins de 10 ans,1.7776161752871646
2020-06-10,90 ans et plus,23.997880131864328
2020-06-10,de 10 à 19 ans,2.782947101840434
2020-06-10,de 20 à 29 ans,6.139000461972567
2020-06-10,de 30 à 49 ans,5.897588694949492
2020-06-10,de 50 à 59 ans,4.810822771916324
2020-06-10,de 60 à 89 ans,4.87459355663956
2020-06-10,moins de 10 ans,1.88066638834729
2020-06-11,90 ans et plus,20.272181846552055
2020-06-11,de 10 à 19 ans,3.094829104632897
2020-06-11,de 20 à 29 ans,6.433244492829639
2020-06-11,de 30 à 49 ans,5.9331163376901515
2020-06-11,de 50 à 59 ans,4.742584151038078
2020-06-11,de 60 à 89 ans,4.685747317157156
2020-06-11,moins de 10 ans,2.202698304160182
2020-06-12,90 ans et plus,18.847650149226777
2020-06-12,de 10 à 19 ans,3.3107474142584477
2020-06-12,de 20 à 29 ans,6.794362167063319
2020-06-12,de 30 à 49 ans,6.05154181349235
2020-06-12,de 50 à 59 ans,4.799449668436616
2020-06-12,de 60 à 89 ans,4.485098187707101
2020-06-12,moins de 10 ans,2.6020178797681686
2020-06-13,90 ans et plus,18.08059461989778
2020-06-13,de 10 à 19 ans,3.334738337550175
2020-06-13,de 20 à 29 ans,6.754237981037355
2020-06-13,de 30 à 49 ans,5.891667421159382
2020-06-13,de 50 à 59 ans,4.651599323200417
2020-06-13,de 60 à 89 ans,4.331660618127648
2020-06-13,moins de 10 ans,2.576255326503137
2020-06-14,90 ans et plus,17.31353909056878
2020-06-14,de 10 à 19 ans,3.238774644383264
2020-06-14,de 20 à 29 ans,6.8211116244139625
2020-06-14,de 30 à 49 ans,5.9094312425297115
2020-06-14,de 50 à 59 ans,4.628853116241002
2020-06-14,de 60 à 89 ans,4.349364953079124
2020-06-14,moins de 10 ans,2.589136603135653
2020-06-15,90 ans et plus,15.121951863914507
2020-06-15,de 10 à 19 ans,3.382720184133631
2020-06-15,de 20 à 29 ans,6.620490694284141
2020-06-15,de 30 à 49 ans,5.826533409468173
2020-06-15,de 50 à 59 ans,4.4468834605656795
2020-06-15,de 60 à 89 ans,4.266744723305572
2020-06-15,moins de 10 ans,2.6921868161957785
2020-06-16,90 ans et plus,13.25910272125837
2020-06-16,de 10 à 19 ans,3.370724722487767
2020-06-16,de 20 à 29 ans,6.714113795011391
2020-06-16,de 30 à 49 ans,5.832454683258282
2020-06-16,de 50 à 59 ans,4.424137253606265
2020-06-16,de 60 à 89 ans,4.290350503240872
2020-06-16,moins de 10 ans,2.666424262930747
2020-06-17,90 ans et plus,13.149523359925658
2020-06-17,de 10 à 19 ans,3.6586158019885016
2020-06-17,de 20 à 29 ans,7.0484820118944285
2020-06-17,de 30 à 49 ans,6.436424609849496
2020-06-17,de 50 à 59 ans,4.49237587448451
2020-06-17,de 60 à 89 ans,4.290350503240872
2020-06-17,moins de 10 ans,3.0142187320086706
2020-06-18,90 ans et plus,11.396253578602238
2020-06-18,de 10 à 19 ans,3.838547726676461
2020-06-18,de 20 à 29 ans,6.874610539115249
2020-06-18,de 30 à 49 ans,6.4305033360593855
2020-06-18,de 50 à 59 ans,4.276286908370066
2020-06-18,de 60 à 89 ans,4.254941833337922
2020-06-18,moins de 10 ans,2.9240497955810607
2020-06-19,90 ans et plus,10.738777410605955
2020-06-19,de 10 à 19 ans,3.8625386499681884
2020-06-19,de 20 à 29 ans,7.061856740569749
2020-06-19,de 30 à 49 ans,6.809464858626421
2020-06-19,de 50 à 59 ans,4.424137253606265
2020-06-19,de 60 à 89 ans,4.254941833337922
2020-06-19,moins de 10 ans,2.911168518948545
2020-06-20,90 ans et plus,11.396253578602238
2020-06-20,de 10 à 19 ans,4.042470574656147
2020-06-20,de 20 à 29 ans,7.369475500102143
2020-06-20,de 30 à 49 ans,7.064079631601148
2020-06-20,de 50 à 59 ans,4.788076564956908
2020-06-20,de 60 à 89 ans,4.278547613273222
2020-06-20,moins de 10 ans,3.0528625619062173
2020-06-21,90 ans et plus,11.067515494604097
2020-06-21,de 10 à 19 ans,4.066461497947875
2020-06-21,de 20 à 29 ans,7.382850228777466
2020-06-21,de 30 à 49 ans,7.040394536440709
2020-06-21,de 50 à 59 ans,4.8449420823554465
2020-06-21,de 60 à 89 ans,4.190025938515845
2020-06-21,moins de 10 ans,2.9755749021111235
2020-06-22,90 ans et plus,11.067515494604097
2020-06-22,de 10 à 19 ans,4.222402499344107
2020-06-22,de 20 à 29 ans,7.824216275063075
2020-06-22,de 30 à 49 ans,7.235796571514336
2020-06-22,de 50 à 59 ans,5.106523462388722
2020-06-22,de 60 à 89 ans,4.190025938515845
2020-06-22,moins de 10 ans,2.9755749021111235
2020-06-23,90 ans et plus,10.410039326607814
2020-06-23,de 10 à 19 ans,4.654239118595209
2020-06-23,de 20 à 29 ans,8.171959220621433
2020-06-23,de 30 à 49 ans,7.448962427958294
2020-06-23,de 50 à 59 ans,5.288493118064044
2020-06-23,de 60 à 89 ans,4.0778984838231676
2020-06-23,moins de 10 ans,3.039981285273702
2020-06-24,90 ans et plus,9.204666351947962
