jour,vaccin_name,roll
2021-02-11,Pfizer,40548.28571428572
2021-02-11,Moderna,5921.142857142857
2021-02-11,AstraZeneca,4785.428571428572
2021-02-11,Janssen,0
2021-02-12,Pfizer,39454.71428571428
2021-02-12,Moderna,6663.142857142857
2021-02-12,AstraZeneca,6647.571428571428
2021-02-12,Janssen,0
2021-02-13,Pfizer,38890.857142857145
2021-02-13,Moderna,6818.142857142857
2021-02-13,AstraZeneca,7103.857142857143
2021-02-13,Janssen,0
2021-02-14,Pfizer,38889.28571428572
2021-02-14,Moderna,6854.428571428572
2021-02-14,AstraZeneca,7034.857142857143
2021-02-14,Janssen,0
2021-02-15,Pfizer,37146.42857142857
2021-02-15,Moderna,6274.428571428572
2021-02-15,AstraZeneca,8102.428571428572
2021-02-15,Janssen,0
2021-02-16,Pfizer,34590.42857142857
2021-02-16,Moderna,5796.285714285715
2021-02-16,AstraZeneca,8892
2021-02-16,Janssen,0
2021-02-17,Pfizer,32234.571428571428
2021-02-17,Moderna,5077.428571428572
2021-02-17,AstraZeneca,9118.857142857143
2021-02-17,Janssen,0
2021-02-18,Pfizer,30229.85714285714
2021-02-18,Moderna,4388.428571428572
2021-02-18,AstraZeneca,9290.57142857143
2021-02-18,Janssen,0
2021-02-19,Pfizer,28741.571428571428
2021-02-19,Moderna,3728.714285714286
2021-02-19,AstraZeneca,9444.285714285714
2021-02-19,Janssen,0
2021-02-20,Pfizer,28439.714285714286
2021-02-20,Moderna,3550
2021-02-20,AstraZeneca,9396.57142857143
2021-02-20,Janssen,0
2021-02-21,Pfizer,28253.285714285714
2021-02-21,Moderna,3535.8571428571427
2021-02-21,AstraZeneca,9350.714285714286
2021-02-21,Janssen,0
2021-02-22,Pfizer,28319.14285714286
2021-02-22,Moderna,3558.285714285714
2021-02-22,AstraZeneca,9179
2021-02-22,Janssen,0
2021-02-23,Pfizer,28970.714285714286
2021-02-23,Moderna,3548.1428571428573
2021-02-23,AstraZeneca,9026.714285714286
2021-02-23,Janssen,0
2021-02-24,Pfizer,29683
2021-02-24,Moderna,3639.714285714286
2021-02-24,AstraZeneca,9464.285714285714
2021-02-24,Janssen,0
2021-02-25,Pfizer,29792.85714285714
2021-02-25,Moderna,3648.714285714286
2021-02-25,AstraZeneca,13718.57142857143
2021-02-25,Janssen,0
2021-02-26,Pfizer,30030.14285714286
2021-02-26,Moderna,3505.8571428571427
2021-02-26,AstraZeneca,20470.571428571428
2021-02-26,Janssen,0
2021-02-27,Pfizer,30338.428571428572
2021-02-27,Moderna,3468.4285714285716
2021-02-27,AstraZeneca,24936.714285714286
2021-02-27,Janssen,0
2021-02-28,Pfizer,30497.571428571428
2021-02-28,Moderna,3454.4285714285716
2021-02-28,AstraZeneca,25193.571428571428
2021-02-28,Janssen,0
2021-03-01,Pfizer,32594.571428571428
2021-03-01,Moderna,3660.5714285714284
2021-03-01,AstraZeneca,26761.14285714286
2021-03-01,Janssen,0
2021-03-02,Pfizer,35170.71428571428
2021-03-02,Moderna,3870.4285714285716
2021-03-02,AstraZeneca,30646.85714285714
2021-03-02,Janssen,0
2021-03-03,Pfizer,38050.57142857143
2021-03-03,Moderna,4084.5714285714284
2021-03-03,AstraZeneca,35488.142857142855
2021-03-03,Janssen,0
2021-03-04,Pfizer,41232
2021-03-04,Moderna,4481.571428571428
2021-03-04,AstraZeneca,40726
2021-03-04,Janssen,0
2021-03-05,Pfizer,45102.42857142857
2021-03-05,Moderna,4992.142857142857
2021-03-05,AstraZeneca,48636.857142857145
2021-03-05,Janssen,0
2021-03-06,Pfizer,54563.857142857145
2021-03-06,Moderna,5437.571428571428
2021-03-06,AstraZeneca,60684.28571428572
2021-03-06,Janssen,0
2021-03-07,Pfizer,63099.28571428572
2021-03-07,Moderna,5749.571428571428
2021-03-07,AstraZeneca,68125.42857142857
2021-03-07,Janssen,0
2021-03-08,Pfizer,65955.14285714286
2021-03-08,Moderna,5609.857142857143
